,player,choice,col_0,col_1,col_2,col_3,col_4,col_5,col_6
0,Player 2,5,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1,Player 1,3,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, -1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2,Player 2,2,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, -1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
3,Player 1,4,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, -1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, -1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
4,Player 2,4,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, -1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, -1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
5,Player 1,3,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, -1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 0.0, -1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, -1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
6,Player 2,5,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, -1.0]","[0.0, 0.0, 0.0, 0.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, -1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, -1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
7,Player 1,2,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, -1.0]","[0.0, 0.0, 0.0, 0.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, -1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, -1.0, -1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
8,Player 2,5,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 1.0, -1.0]","[0.0, 0.0, 0.0, 0.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, -1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, -1.0, -1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
9,Player 1,4,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 1.0, -1.0]","[0.0, 0.0, 0.0, 0.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, -1.0, 1.0]","[0.0, 0.0, 0.0, -1.0, -1.0, -1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
10,Player 2,5,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 1.0, -1.0]","[0.0, 0.0, 0.0, 0.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 1.0, -1.0, 1.0]","[0.0, 0.0, 0.0, -1.0, -1.0, -1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
0,Player 1,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1,Player 2,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2,Player 1,4,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, -1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
3,Player 2,6,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, -1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
4,Player 1,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, -1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, -1.0]"
5,Player 2,2,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 1.0, -1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, -1.0]"
6,Player 1,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 1.0, -1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, -1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, -1.0]"
7,Player 2,3,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 1.0, -1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, -1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, -1.0]"
8,Player 1,5,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 1.0, -1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, -1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, -1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, -1.0]"
9,Player 2,3,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 1.0, -1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, -1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, -1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, -1.0]"
10,Player 1,4,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 1.0, -1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, -1.0]","[0.0, 0.0, 0.0, 0.0, -1.0, -1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, -1.0]"
11,Player 2,2,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 1.0, -1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, -1.0]","[0.0, 0.0, 0.0, 0.0, -1.0, -1.0]","[0.0, 0.0, 0.0, 0.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, -1.0]"
12,Player 1,5,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 1.0, -1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, -1.0, -1.0]","[0.0, 0.0, 0.0, 0.0, -1.0, -1.0]","[0.0, 0.0, 0.0, 0.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, -1.0]"
13,Player 2,5,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 1.0, -1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, -1.0, -1.0]","[0.0, 0.0, 0.0, 0.0, -1.0, -1.0]","[0.0, 0.0, 0.0, 0.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, -1.0]"
14,Player 1,3,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 1.0, -1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, -1.0, -1.0]","[0.0, 0.0, 0.0, 0.0, -1.0, -1.0]","[0.0, 0.0, 0.0, 0.0, 1.0, 1.0]","[0.0, 0.0, 0.0, -1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, -1.0]"
15,Player 2,5,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 1.0, -1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, -1.0, -1.0]","[0.0, 0.0, 0.0, 1.0, -1.0, -1.0]","[0.0, 0.0, 0.0, 0.0, 1.0, 1.0]","[0.0, 0.0, 0.0, -1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, -1.0]"
16,Player 1,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 1.0, -1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, -1.0, -1.0]","[0.0, 0.0, 0.0, 1.0, -1.0, -1.0]","[0.0, 0.0, 0.0, 0.0, 1.0, 1.0]","[0.0, 0.0, -1.0, -1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, -1.0]"
17,Player 2,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 1.0, 1.0, -1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, -1.0, -1.0]","[0.0, 0.0, 0.0, 1.0, -1.0, -1.0]","[0.0, 0.0, 0.0, 0.0, 1.0, 1.0]","[0.0, 0.0, -1.0, -1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, -1.0]"
18,Player 1,3,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[0.0, -1.0, 1.0, 1.0, -1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, -1.0, -1.0]","[0.0, 0.0, 0.0, 1.0, -1.0, -1.0]","[0.0, 0.0, 0.0, 0.0, 1.0, 1.0]","[0.0, 0.0, -1.0, -1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, -1.0]"
19,Player 2,3,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[0.0, -1.0, 1.0, 1.0, -1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, -1.0, -1.0]","[0.0, 0.0, 1.0, 1.0, -1.0, -1.0]","[0.0, 0.0, 0.0, 0.0, 1.0, 1.0]","[0.0, 0.0, -1.0, -1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, -1.0]"
20,Player 1,2,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[0.0, -1.0, 1.0, 1.0, -1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, -1.0, -1.0]","[0.0, -1.0, 1.0, 1.0, -1.0, -1.0]","[0.0, 0.0, 0.0, 0.0, 1.0, 1.0]","[0.0, 0.0, -1.0, -1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, -1.0]"
21,Player 2,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[0.0, -1.0, 1.0, 1.0, -1.0, 1.0]","[0.0, 0.0, 0.0, 1.0, -1.0, -1.0]","[0.0, -1.0, 1.0, 1.0, -1.0, -1.0]","[0.0, 0.0, 0.0, 0.0, 1.0, 1.0]","[0.0, 0.0, -1.0, -1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, -1.0]"
22,Player 1,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[-1.0, -1.0, 1.0, 1.0, -1.0, 1.0]","[0.0, 0.0, 0.0, 1.0, -1.0, -1.0]","[0.0, -1.0, 1.0, 1.0, -1.0, -1.0]","[0.0, 0.0, 0.0, 0.0, 1.0, 1.0]","[0.0, 0.0, -1.0, -1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, -1.0]"
23,Player 2,2,"[0.0, 0.0, 0.0, 0.0, 1.0, 1.0]","[-1.0, -1.0, 1.0, 1.0, -1.0, 1.0]","[0.0, 0.0, 0.0, 1.0, -1.0, -1.0]","[0.0, -1.0, 1.0, 1.0, -1.0, -1.0]","[0.0, 0.0, 0.0, 0.0, 1.0, 1.0]","[0.0, 0.0, -1.0, -1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, -1.0]"
24,Player 1,2,"[0.0, 0.0, 0.0, 0.0, 1.0, 1.0]","[-1.0, -1.0, 1.0, 1.0, -1.0, 1.0]","[0.0, 0.0, -1.0, 1.0, -1.0, -1.0]","[0.0, -1.0, 1.0, 1.0, -1.0, -1.0]","[0.0, 0.0, 0.0, 0.0, 1.0, 1.0]","[0.0, 0.0, -1.0, -1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, -1.0]"
25,Player 2,5,"[0.0, 0.0, 0.0, 0.0, 1.0, 1.0]","[-1.0, -1.0, 1.0, 1.0, -1.0, 1.0]","[0.0, 1.0, -1.0, 1.0, -1.0, -1.0]","[0.0, -1.0, 1.0, 1.0, -1.0, -1.0]","[0.0, 0.0, 0.0, 0.0, 1.0, 1.0]","[0.0, 0.0, -1.0, -1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, -1.0]"
26,Player 1,5,"[0.0, 0.0, 0.0, 0.0, 1.0, 1.0]","[-1.0, -1.0, 1.0, 1.0, -1.0, 1.0]","[0.0, 1.0, -1.0, 1.0, -1.0, -1.0]","[0.0, -1.0, 1.0, 1.0, -1.0, -1.0]","[0.0, 0.0, 0.0, 0.0, 1.0, 1.0]","[0.0, -1.0, -1.0, -1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, -1.0]"
27,Player 2,6,"[0.0, 0.0, 0.0, 0.0, 1.0, 1.0]","[-1.0, -1.0, 1.0, 1.0, -1.0, 1.0]","[0.0, 1.0, -1.0, 1.0, -1.0, -1.0]","[0.0, -1.0, 1.0, 1.0, -1.0, -1.0]","[0.0, 0.0, 0.0, 0.0, 1.0, 1.0]","[1.0, -1.0, -1.0, -1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, -1.0]"
28,Player 1,3,"[0.0, 0.0, 0.0, 0.0, 1.0, 1.0]","[-1.0, -1.0, 1.0, 1.0, -1.0, 1.0]","[0.0, 1.0, -1.0, 1.0, -1.0, -1.0]","[0.0, -1.0, 1.0, 1.0, -1.0, -1.0]","[0.0, 0.0, 0.0, 0.0, 1.0, 1.0]","[1.0, -1.0, -1.0, -1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, -1.0, -1.0]"
